Site	basin	TD	FD	PD	LCBDtax	LCBDfunc	LCBDphylo	Elevation	Gradient	SPI	Qmon	Qann	CatchArea	Order	Out_dist	MAT	Tsea	Ttrend	MAP	Psea	Ptrend	HFP	Urban	Cropland	TN	TP	EC	pH	DO	COD
YTR25	YTR	8.546649858	2.090515172	1.769864114	1.026549	0.74074779	1.206969	184	0.257128	0.008959741	5271.286458	13414.944	961249	9	1720.1	14.55983019	7.918168197	0.00594392	1465.544919	63.9628153	-1.204158397	30.99157333	0.139519055	0.221846247	3	0.09	310.1	7.96	10.9	0.8
YTR26	YTR	8.335944408	2.680755808	1.800254438	1.048748	2.234529597	0.479291	99	0.129644	0.026641931	5310.119792	0.162	7.2	1	1687.2	13.65189113	8.037613921	0.005658914	1394.519077	64.51801868	-0.574109475	40.57887268	0.451252144	0.106439354	1.5	0.066666667	308.4	7.88	9.9	0.9
YTR27	YTR	8.140708124	2.383016067	1.773296057	1.113139	0.444094444	4.94E-02	227	0.250645	0.003992021	5329.026042	21.8	1057.1	4	1637.4	13.49239474	8.083892889	0.005593822	1394.724162	64.53073745	0.353895707	35.99164581	0.118979032	0.393181557	1.3	0.07	319.4	7.91	12	1.8
YTR28	YTR	4.044044431	2.394932349	0.931958686	1.024684	2.125501406	4.244539	227	0.271054	0.076034686	5329.026042	13591.599	969652.7	9	1637.4	13.49239474	8.057872066	0.005593822	1394.724162	64.20368093	0.353895707	38.64487076	0.200194624	0.261714175	1.2	0.066666667	310.6	7.9	10.9	0.7
YTR29	YTR	9.890887923	1.903384017	1.713674035	1.144224	0.782761484	1.669656	729	0.378436	0.004987542	0.114583333	6.06	260.9	3	1591.2	14.55115303	8.077822934	0.009554556	1213.488579	64.54611473	0.490000517	43.23913193	0.092638521	0.219764235	3.6	0.09	313.2	7.94	8.9	1.3
YTR30	YTR	15.28714228	2.304153157	2.383476514	1.062103	0.586475408	0.608237	80	0.200908	0.001998003	0.114583333	52.298	3211.9	5	1589	14.55115303	8.05598362	0.009554556	1213.488579	64.25890863	0.490000517	30.04631233	0.039819489	0.325035425	1.9	0.09	313.2	7.93	10.5	2
YTR31	YTR	5.194551167	2.418423153	1.711988922	1.06558	2.905343016	9.66E-02	239	0.181502	0.002995509	5378.75	13721.134	976786.7	9	1563.5	15.61105204	8.117767736	0.010788128	1207.132952	64.77321658	1.306004388	27.43445969	0.208121492	0.126665278	2	0.083333333	318.1	8.06	9	4.3
YTR32	YTR	8.955643263	3.143395718	1.748647346	1.110047	1.09E-01	0.484474	434	0.380168	0.00796817	5379.921875	0.46	22.1	1	1561.1	15.61105204	8.159784096	0.010788128	1207.132952	64.92342153	1.306004388	28.67856789	0.039473639	0.32046608	2.2	0.06	317.6	7.87	10.1	2
YTR33	YTR	9.405260858	3.259425625	2.330826604	1.070678	0.394743506	0.413586	328	0.0001	10.32539816	5394.213542	13743.265	977888.1	9	1521.9	16.38311494	8.247786096	0.014532782	1096.650315	65.93559133	1.867654124	31.93385887	0.015487544	0.142165115	2.8	0.066666667	317.6	8.2	12.5	1.6
YTR34	YTR	20.60559555	3.283220226	2.942686241	0.987498	0.254855866	0.244775	71	0.0001	8.94274716	5394.213542	13745.907	978027.3	9	1517.3	16.38311494	8.31174219	0.014532782	1096.650315	66.45921877	1.867654124	33.47514343	0.345640888	0.002809209	2.7	0.08	318.7	8.08	12	1.8
YTR35	YTR	15.23600192	3.71280376	1.889969853	1.007093	0.401251608	0.32389	97	0.0001	2.807774865	5621.078125	14203.534	997948.4	9	1468.8	17.04679172	8.457944378	0.018081355	967.5767698	58.03572102	-0.180721762	38.32659531	0.22365761	0.231771367	3.5	0.076666667	313.8	8.04	13	1.7
YTR36	YTR	18.67454964	3.826726058	2.837181318	0.99067	0.351628494	0.471116	75	0.113444	0.002995509	0.046875	400.728	16696.7	6	1472.4	17.04679172	8.414929039	0.018081355	967.5767698	58.91991956	-0.180721762	44.8084259	0.602570101	0.25853769	2.8	0.033333333	208.6	8.06	10.6	1.9
YTR37	YTR	9.726276821	2.704082838	1.764835814	1.012877	0.358171295	0.377265	36	0.0001	8.076222867	5651.807292	14415.262	1007386	9	1359.1	18.16115224	8.657451932	0.026831054	963.8769145	49.54364798	1.095605732	39.47291565	0.533112345	0.004487301	0.38	0.126666667	313.8	8.24	13.2	1.8
YTR38	YTR	11.47006783	3.10414038	1.824418164	0.996162	0.310318902	0.268915	126	0.0001	0.003992021	0.208333333	0.528	29.1	1	1242	18.46167192	8.650283647	0.027084227	1285.171989	48.29514501	1.886262732	8.229467392	0.001451567	0.774733851	0.32	0.106666667	315.2	7.64	12.1	2
YTR39	YTR	5.53096251	2.224480218	1.624678128	1.015682	0.635918825	1.580982	19	0.00866	0.001998003	0.265625	6403.998	260516.7	8	1140.4	18.41702726	8.675554964	0.025126012	1401.443116	50.82361606	2.095248207	38.52259064	0.38336081	0.067099385	2.3	0.206666667	188.7	8.29	10.3	4.2
YTR40	YTR	7.932106866	2.033501884	1.726439804	1.018599	0.831494489	1.44093	15	0.022516	0.0001	7536.286458	20555.914	1274073	9	1058.9	18.56678838	8.800735021	0.026251814	1374.635963	52.44514236	2.020333314	22.16620255	0.178521907	0.32050815	2.2	0.106666667	303.5	7.83	11	3.2
YTR41	YTR	14.1142254	2.739860897	2.350189235	1.032415	0.211010647	1.720588	13	0.0001	1.580215054	0.322916667	21791.426	1293974	9	902.2	18.4184164	8.972088649	0.024506566	1328.23857	54.4227679	2.290709161	36	0.340260822	0.073248578	2.6	0.096666667	305.8	7.91	10.5	4.9
YTR42	YTR	7.989058406	3.253708238	1.745277339	1.074706	0.535834311	1.006654	6	0.001732	0.001998003	9033.828125	22755.949	1480854	9	771.9	18.32940547	8.989166592	0.024227334	1351.28256	56.2065745	2.160966546	35.18497467	0.232632316	0.268725135	4.9	0.12	270.8	7.85	12.2	3
YTR43	YTR	11.51024748	3.350811047	1.985746848	1.090263	1.769428177	1.312091	18	0.0001	9.177264238	9128.666667	0.291	9.5	1	694.7	18.16000529	9.024600549	0.025400633	1402.006331	53.36852278	2.29757872	38.40551758	0.282527792	0.039921675	2.2	0.113333333	280.6	7.99	9.5	3.7
YTR44	YTR	4.848755162	2.991365445	1.873769107	1.078679	2.69287378	0.167557	2	0.0001	0.003992021	0.046875	22722.322	1493199	9	622.7	18.48409735	8.987631937	0.021363672	1347.845619	51.22200316	2.962230168	18.16613197	0.104054363	0.105817823	2.1	0.113333333	281.3	7.63	9.6	1.5
YTR45	YTR	7.817943649	2.760195678	1.963258753	1.060786	0.315112481	1.623136	2	0.006062	0.004987542	0.046875	5981.141	162424.3	8	622.9	18.48409735	8.991037139	0.021363672	1347.845619	51.19705401	2.962230168	39.16646576	0.261122749	0.136514948	2.7	0.05	187.8	7.73	8.8	11.2
YTR46	YTR	9.407313209	4.208038316	2.576705034	1.083921	1.059104411	0.566056	489	0.043451	0.527092596	2.15625	0.772	18	2	528.1	15.05304661	8.366976664	0.02218005	1674.036939	54.76379801	3.803377418	3.374080896	0.000580579	0.060063704	2.9	0.18	36.5	7.65	8.71	1.5
YTR47	YTR	13.12699326	4.127356171	2.740010515	0.979973	0.460856055	1.22526	293	0.0001	2.035489654	1.739583333	1.407	32.5	2	524.9	15.05304661	8.414422146	0.02218005	1674.036939	54.76177181	3.803377418	12.77889633	0.005805806	0.060869892	2.2	0.18	39.8	7.55	6.46	0.2
YTR48	YTR	14.56613188	3.844481517	2.907931377	0.934777	0.099488405	6.37E-02	293	0.088331	0.013902905	1.739583333	1.407	32.5	2	524.9	15.05304661	8.423216403	0.02218005	1674.036939	54.76170078	3.803377418	13.14365387	0.004851821	0.0622233	2.6	0.21	41.7	7.69	6.84	0.7
YTR49	YTR	18.26095543	5.100876528	2.613760247	1.006488	0.619295409	1.008417	223	0.319549	0.001998003	3.520833333	4.279	97.6	3	519.2	15.05304661	8.456760185	0.02218005	1674.036939	54.24368715	3.803377418	12.47833538	0	0.023621393	2.6	0.22	57.8	7.43	8.01	1.9
YTR50	YTR	11.72691662	3.893148757	2.529863761	1.03342	0.303846101	6.26E-02	369	0.0001	3.454011186	1.947916667	25.71	549.2	4	491.1	15.06149043	8.576058614	0.02168354	1627.845193	53.923913	3.100263484	5.292970181	0.001706364	0.027272231	3.4	0.21	104.2	8.03	7.68	2
YTR51	YTR	12.24760527	3.087777587	2.161524444	0.999017	0.361601295	0.111211	179	0.0001	4.589660531	19.01041667	27.691	579.1	4	485.8	14.87967122	8.585727223	0.020758467	1618.214176	53.58047102	3.026004466	4.268032074	0.005805476	0.030478747	3.2	0.21	270	7.137	7.184	2.1
YTR52	YTR	17.41305568	3.516892579	2.17987704	1.087734	0.42194704	1.245727	315	0.281444	0.003992021	19.01041667	29.069	595.6	4	480.5	14.87967122	8.617337493	0.020758467	1618.214176	53.30042874	3.026004466	4.459195614	0	0.001451374	2.6	0.2	90.7	7.71	7.77	1.6
YTR53	YTR	8.981538219	2.79188307	1.9078698	1.150105	1.35760973	4.09345	256	0.0001	2.331464053	19.76041667	29.069	595.6	4	480.5	14.87967122	8.649635862	0.020758467	1618.214176	53.06323793	3.026004466	7.533575535	0.004146945	0.195876277	2	0.17	115.7	8.65	8.62	13.6
YTR54	YTR	8.001363964	3.701254252	1.804698101	0.990876	0.645864584	0.739223	332	0.477958	0.003992021	3.958333333	0.474	10.8	1	499.1	14.87967122	8.584409806	0.020758467	1618.214176	53.71781774	3.026004466	6.763247013	0.006676441	0.035518896	3.6	0.18	101.9	8.34	7.79	2
